Abacinate, LL
Cypris, L
Cyprus, OE
Cypseliform, L
Cyrenaic, L
Cytherean, L
Dab, OE
Dactyl, L
Dactylic, L
D\'91dal, D\'91dalian, L
Daffodil, OE
Daft, OE
Dag, OE
Dagges, OE
Daily, AS
Dainty, OE
Dairy, OE
Dais, OE
Daisy, OE
Dale, AS
Dally, OE
Dalmatica, n., Dalmatic, LL
Dam, OE
Damascene, L
Damascus, L
Damaskeen, Damasken, F
Damass\'82, F
Damassin, F
Dame, F
Damn, OE
Damnable, L
Damnation, F
Dannatory, L
Damnific, L
Damnification, LL
Damnify, LL
damnum, L
Damp, OE
Damsel, OE
Damson, OE
Dan, OE
Dance, F
Dance, F
Dandelion, F
Dane, LL
Danegeld, Danegelt, AS
Danger, OE
Dangerous, OE
Danseuse, F
Dapatical, L
Daphne, L
Dapifer, L
Dapper, OE
Dare, OE
Dare, OE
Dark, OE
Darken, AS
Darling, OE
Darn, OE
Darnel, OE
Dartars, F
Dartrous, F
Dasewe, OE
Data, L
Dataria, LL
Datary, LL
Date, F
Date, F
Dative, L
Dative, L
Datum, L
Daub, OE
Daughter, OE
Dauphin, F
Daw, OE
Daw, OE
Dawn, OE
Day, OE
Daze, OE
Deacon, OE
Dead, OE
Deaf, OE
Deal, OE
Deal, OE
Dealbate, L
Dealbation, L
Deambulate, L
Deambulation, L
Deambulatory, L
Dean, OE
Dear, OE
Dearn, AS
Dearth, OE
Death, OE
Deaurate, L
Debacchate, L
Debacchation, L
Debacle, F
Debark, F
Debate, F
Debauch, F
Debauchee, F
Debeige, F
Debellate, L
Debellation, LL
De bene esse, L
Debenture, L
Debile, L
Debilitant, L
Debilitate, L
Debilitation, L
Debility, L
Debit, L
Debitor, L
D\'82blai, F
Debonair, OE
Debouch, F
D\'82bouch\'82, F
D\'82bouchure, F
D\'82bris, F
Debt, OE
Debtor, OE
D\'82but, F
D\'82butant, n.; fem. D\'82butante, F
Decucuminated, L
Decade, F
Decadence, Decadency, LL
Decagram, Decagramme, F
Decalcomania, Decalcomanie, F
Decaliter, Decalitre, F
Decalogue, F
Decameter, Decametre, F
Decamp, F
Decani, L
Decant, F
Decapitate, LL
Decapitation, LL
Decastere, L
Decease, OE
Decede, L
Decedent, L
Deceivable, F
Deceive, OE
December, F
Decemdentate, L
Decemfid, L
Decemlocular, L
Decempedal, L
Decemvir, L
Decemviral, L
Decemvirate, L
Decency, L
Decene, L
Decennary, L
Decennium, L
Decennoval, Decennovary, L
Decent, L
Deception, F
Deceptious, LL
Deceptory, L
Decern, L
Decerp, L
Decerpt, L
Decertation, L
Decession, L
Decide, L
Decidence, L
Deciduous, L
Decigram, Decigramme, F
Decil, Decile, F
Deciliter, Decilitre, F
Decillion, L
Decimal, F
Decimate, L
Decimation, L
D\'82cime, F
Decimeter, Decimetre, F
Decipiency, L
Decision, L
Decistere, F
Declaim, L
Declamation, L
Declamator, L
Declamatory, L
Declaration, F
Declarative, L
Declarator, L
Declare, F
Declinate, L
Declination, L
Declinatory, LL
Decline, OE
Decline, F
Declivity, L
Decoct, L
Decoction, F
Decollate, L
Decollation, L
D\'82collet\'82, F
Decolorate, L
Decoloration, L
Decorament, L
Decorate, L
Decoration, LL
Decorous, L
Decorticate, L
Decortication, L
Decorum, L
Decrease, OE
Decrease, OE
Decree, OE
Decrement, L
Decrepit, L
Decrescent, L
Decretal, L
Decretal, LL
Decrete, L
Decretist, LL
Decretory, L
Decrew, F
Decry, F
Decuman, L
Decumbent, L
Decuple, F
Decurion, L
Decurionate, L
Decurrent, L
Decursion, L
Decurt, L
Decurtation, L
Decury, L
Decussate, L
Decussation, L
Decyl, L
Dedans, F
Dedecorate, L
Dedecoration, L
Dedecorous, L
Dedicate, L
Dedication, L
Dedicator, L
Dedimus, L
Dedition, L
Dedolent, L
Deduce, L
Deduct, L
Deduction, L
Deductor, L
Deduit, F
Deed, AS
Deem, OE
Deep, OE
Deer, OE
Deess, F
Deface, OE
De facto, L
Defail, F
Defailance, F
Defalcate, LL
Defalcation, LL
Defalk, F
Defamation, OE
Defame, OE
Defatigate, L
Defatigation, L
Default, OE
Defecate, L
Defecation, L
Defect, L
Defection, L
Defective, L
Defedation, L
Defend, F
Defendant, F
Defensative, L
Defense, Defence, F
Defensor, L
Defensory, L
Defer, OE
Defer, F
Deference, F
Deferent, L
Defervescence, Defervescency, L
Deficient, L
Defile, F
Defile, OE
Defiliation, L
Define, OE
Definite, L
Definition, L
Definitive, L
Defix, L
Deflagrate, L
Deflagration, L
Deflect, L
Deflection, L
Deflorate, LL
Defloration, LL
Deflour, F
Defluous, L
Deflux, L
Defluxion, L
Defoliation, LL
Deform, L
Deform, L
Deformation, L
Deformity, L
Defraud, L
Defraudation, L
Defray, F
Deft, OE
Defunct, L
Defunction, L
Defy, F
Degarnish, F
Degenerate, L
Degenerous, L
Deglutinate, L
Deglutition, L
Degradation, LL
Degrade, F
Degravation, L
Degree, F
Degust, L
Degustation, L
Dehisce, L
Dehiscent, L
Dehonestate, L
Dehonestation, L
Dehors, F
Dehort, L
Dehortation, L
Dehortatory, L
Deicide, L
Deific, Deifical, L
Deification, LL
Deiform, L
Deify, F
Deign, OE
Deintegrate, L
Deiparous, L
Deism, L
Deist, L
Deity, OE
Deject, L
Deject, L
Dejection, L
Dejectory, L
Dejerate, L
Dejeration, L
D\'82jeun\'82, F
D\'82jeuner, F
De jure, L
Delaceration, L
Delacrymation, L
Delapse, L
Delassation, L
Delate, L
Delation, L
Delator, L
Delay, F
Deleble, L
Delectate, L
Delectation, L
Delectus, L
Delegate, L
Delegate, L
Delegation, L
Delegatory, L
Delenda, L
Delenifical, L
Delete, L
Deleterious, LL
Deletery, LL
Deletion, L
Deletitious, L
Delf, AS
Delibate, L
Delibation, L
Deliberate, L
Deliberation, L
Deliberative, L
Delibrate, L
Delicate, L
Delices, F
Delict, L
Deligate, L
Delight, OE
Delight, OE
Delimit, L
Delimitation, L
Delineate, L
Delineation, L
Delinition, L
Delinquency, L
Delinquent, L
Deliquate, L
Deliquesce, L
Deliquescent, L
Deliquiate, L
Deliquium, L
Delirament, L
Delirant, L
Delirate, L
Deliration, L
Delirium, L
Delirium, L
Delitescent, L
Delitigate, L
Deliver, F
Deliverance, F
Dell, AS
Delphic, L
Delphin, L
Delphine, L
Delphinoid, L
Delphinus, L
Delude, L
Deluge, F
Delusion, L
Delve, AS
Demand, F
Demand, F
Demandant, F
Demarcation, F
Demarch, F
Demency, L
Dement, L
Dement, L
Dementate, L
Dementia, L
Demerge, L
Demerit, F
Demerse, L
Demersion, L
Demesne, OE
Demi-, F
Demigrate, L
Demigration, L
Demijohn, F
Demilune, F
Demimonde, F
Demise, F
Demiss, L
Demission, L
Demit, L
Democracy, F
Demoiselle, F
Demolish, F
Demolition, L
Demon, F
Demoniac, Demoniacal, L
Demonic, L
Demonstrable, L
Demonstrate, L
Demonstration, L
Demonstrative, F
Demonstrator, L
Demoralize, F
Demosthenic, L
Demulce, L
Demulcent, L
Den, AS
Den, AS
Denarius, L
Denary, L
Dendrachate, L
Denegate, L
Denier, F
Denigrate, L
Denigration, L
Denominate, L
Denominate, L
Denomination, L
Denotate, L
Denotation, L
Denote, L
D\'82nouement, F
Denounce, F
Dense, L
Densimeter, L
Density, L
Dent, F
Dental, L
Dentate, Dentated, L
Dentelle, F
Denticle, L
Denticulate, Denticulated, L
Dentiferous, L
Dentiform, L
Dentifrice, L
Dentigerous, L
Dentil, LL
Dentilave, L
Dentile, LL
Dentilingual, L
Dentiloquy, L
Dentiphone, L
Dentiscalp, L
Dentition, L
Dentize, L
Dentoid, L
Denture, L
Denudate, L
Denudation, L
Denude, L
Denunciate, L
Denunciation, L
Denunciative, L
Denunciator, L
Deny, OE
Deodand, LL
Deodate, L
Deonerate, L
Deordination, LL
Deosculate, L
Depaint, F
Depart, OE
Department, F
Depascent, L
Depatriate, L
Depauperate, LL
Depauperate, L
Depeach, L
Depectible, L
Depeculation, L
Depend, F
Dependence, LL
Dependent, L
Deperdit, LL
Depict, L
Depict, L
Depiction, L
Depilate, L
Deplanate, L
Deplication, LL
Deplorate, L
Deploration, L
Deplore, L
Deploy, F
Deplumate, LL
Deplume, LL
Depone, L
Deponent, L
Deponent, L
Depopulate, L
Depopulation, L
Depopulator, L
Deport, F
Deportation, L
Deportment, F
Deposit, L
Deposit, L
Depositary, L
Deposition, L
Depositor, L
Depoitum, L
Depot, F
Depravation, L
Deprave, L
Deprecable, L
Deprecate, L
Deprecation, L
Deprecative, L
Deprecator, L
Deprecatory, L
Depreciate, L
Depreciator, L
Depredate, L
Depredation, L
Depredator, L
Deprehend, L
Deprehension, L
Depress, L
Depress, L
Depression, L
Depriment, L
Deprisure, F
Deprivation, LL
Deprive, LL
Depucelate, L
Depudicate, L
Depulse, L
Depulsion, L
Depulsory, L
Depurate, LL
Depure, F
Depute, F
Deputy, F
Dequantitate, L
Deracinate, F
Derange, F
Dere, AS
Derelict, L
Dereliction, L
Deride, L
Derision, L
Derisory, L
Derivate, L
Derivation, L
Derivative, L
Derive, F
Derne, AS
Dernier, F
Dernier, F
Derogant, L
Derogate, L
Derogate, L
Derogation, L
Derogator, L
Derworth, AS
Descend, F
Descendant, F
Descendent, L
Descent, F
Describe, L
Describent, L
Description, F
Descriptive, L
Descry, OE
Desecate, L
Desecrate, L
Desert, F
Desertion, L
Desertrix, Desertrice, L
Deshabille, F
Desiccant, L
Desiccate, L
Desiderate, L
Desideration, L
Desiderative, L
Desideratum, L
Desidiose, Desidious, L
Design, F
Designate, L
Designation, L
Designator, L
Desinent, L
Desipient, L
Desirable, F
Desire, F
Desire, F
Desirous, F
Desist, L
Desk, OE
Desolate, L
Desolation, F
Desolator, L
Desolatory, L
Desoxalic, F
Despair, OE
Despect, L
Despection, L
Desperate, L
Desperation, L
Despicable, L
Despiciency, L
Despiteous, OE
Despoliation, L
Despond, L
Despondent, L
Desponsate, L
Desponsation, L
Despot, F
Despumate, L
Despumation, L
Desquamate, L
Dessert, F
Destinate, L
Destination, L
Destine, F
Destiny, OE
Destituent, L
Destitute, L
Destitution, L
Destroy, OE
Destruct, L
Destructible, L
Destruction, L
Destructive, L
Destructor, L
Desudation, L
Desuete, L
Desuetude, L
Desultory, L
Desume, L
Detach, F
Detail, F
Detain, F
Detect, L
Detection, L
Detector, L
Detenebrate, L
Detent, F
Detention, L
Deter, L
Deterge, L
Detergent, L
Deteriorate, L
Deterioration, LL
Deteriority, L
Determinable, L
Determinant, L
Determinate, L
Determination, L
Determinator, L
Determine, F
Deterration, L
Deterrent, L
Detest, L
Detestable, L
Detestation, L
Detonate, L
Detort, L
Detour, F
Detract, L
Detraction, F
Detracor, L
Detrect, L
Detriment, L
Detrite, L
Detrition, LL
Detritus, F
Detrude, L
Detuncate, L
Detruncation, L
Detrusion, L
Detumescence, L
Detur, L
Deturb, L
Deturbate, LL
Deturpate, L
Deuce, F
Devastate, L
Devastator, L
Devastavit, L
Develop, F
Devenustate, L
Devest, L
Devex, L
Devexity, L
Deviate, L
Deviation, LL
Deviator, L
Device, OE
Devil, AS
Devious, L
Devirginate, L
Devirgination, L
Devitable, L
Devitation, L
Devocation, L
Devoid, OE
Devoir, F
Devolute, L
Devolution, LL
Devolve, L
Devoration, L
Devote, L
Devote, L
Devotion, F
Devotional, L
Devotor, L
Devour, F
Devout, OE
Devow, F
Dew, AS
Dexter, L
Dexterity, L
Dexterous, L
Dextrad, L
Dextrorsal, Dextrorse, L
Diabase, F
Diablerie, Diabley, F
Diabolic, Diabolical, L
Diabolify, L
Diacodium, L
Diaconal, LL
Diaconate, L
Diacope, L
Diadem, F
Di\'91resis, Dieresis, L
Diagonal, L
Dial, LL
Dialect, F
Dialectic, Dialectical, L
Dialectics, L
Dialogist, L
Dialogue, OE
Dialysis, L
Diamantiferous, F
Diameter, F
Diamond, OE
Diana, L
Diapasm, L
Diapason, L
Diapente, L
Diaphoresis, L
Diaphoretic, Diaphoretical, L
Diaphragm, L
Diarrhea, Diarrh\'91a, L
Diary, L
Diastem, L
Diastema, L
Diastole, L
Diastyle, L
Diatessaron, L
Diatonic, L
Diatribe, L
Dicacious, L
Dicacity, L
Dichotomous, L
Dicta, L
Dictamen, LL
Dictamnus, L
Dictate, L
Dictate, L
Dictation, L
Dictator, L
Dictatory, L
Dictatrix, L
Dictature, L
Diction, L
Dictum, L
Didascalic, L
Diduction, L
Die, OE
Die, OE
Dies juridicus, L
Dies non, L
Diet, F
Diet, F
Diffarreation, L
Differ, L
Difference, F
Different, L
Differentia, L
Difficile, L
Difficulty, L
Diffide, L
Diffidence, L
Diffident, L
Diffind, L
Difflation, LL
Diffluent, L
Diffract, L
Diffuse, L
Diffuse, L
Diffusion, L
Dig, OE
Digerent, L
Digest, L
Digest, L
Digestible, F
Digestion, F
Digestive, F
Digit, L
Digital, L
Digitate, LL
Digitate, Digitated, L
Digitiform, L
Digitigrade, L
Digitipartite, L
Digitule, L
Digladiate, L
Dignation, L
Digne, F
Dignity, OE
Dignotion, L
Digress, L
Digression, L
Digue, F
Dijudicant, L
Dijudicate, L
Dijudication, L
Dike, OE
Dike, OE
Dilacerate, L
Dilaceration, L
Dilaniate, L
Dilapidate, L
Dilapidation, L
Dilatation, OE
Dilate, L
Dilation, L
Dilatory, L
Dilection, L
Dilemma, L
Diligence, F
Diligence, F
Diligency, L
Diligent, F
Dill, OE
Dilogy, L
Dilucid, L
Dilucidate, L
Dilucidation, L
Diluent, L
Dilute, L
Dilute, L
Diluvial, L
Diluviate, L
Diluvium, L
Dim, AS
Dime, F
Dimension, L
Dimeter, L
Dimication, L
Dimidiate, L
Dimidiation, L
Diminuent, L
Diminution, L
Dimission, L
Dimissory, L
Dimit, L
Dimness, AS
Din, AS
Din, AS
Dine, F
Ding, OE
Dinner, F
Dint, OE
Dinumeration, L
Diocesan, LL
Diocese, OE
Diopter, Dioptra, L
Dioptre, F
Diota, L
Dip, OE
Diphthong, L
Diploma, L
Diplomacy, F
Diplomat, Diplomate, F
Dipsas, L
Diptych, L
Dire, L
Direct, L
Direction, L
Directive, LL
Directory, L
Dirempt, L
Diremption, L
Direption, L
Dirige, L
Dirigent, L
Diriment, L
Dirt, OE
Diruption, L
Dis, L
Disarm, OE
Disaster, F
Disavow, F
Disblame, OE
Discalceate, L
Discarnate, L
Discede, L
Discept, L
Disceptation, L
Disceptator, L
Discern, F
Discernible, L
Discerp, L
Discerption, L
Discession, L
Discharge, OE
Discide, L
Discinct, L
Discind, L
Disciple, OE
Disciplinary, LL
Discipline, F
Disclose, OE
Disclusion, L
Discobolus, L
Discolor, OE
Discommodate, L
Disconsolate, LL
Discord, OE
Discord, OE
Discordant, OE
Discourse, L
Discous, L
Discover, OE
Discreet, F
Discrepance; 277, Discrepancy, L
Discrepant, L
Discrete, L
Discretion, F
Discretive, L
Discriminal, L
Discriminant, L
Discriminate, L
Discrimination, L
Discriminator, LL
Discriminous, LL
Discruciate, L
Discubitory, L
Disculpate, LL
Discursion, LL
Discursus, L
Discus, L
Discuss, L
Discussion, L
Discutient, L
Disdain, OE
Disdain, OE
DIsease, OE
Disert, L
Disertitude, L
Disgorge, F
Disgrace, F
Disgregate, L
Disguise, OE
Dish, AS
Disherit, F
Dishonor, OE
Dishonor, OE
Disintegrate, L
Disinteress, F
Disjection, L
Disjunct, L
Disjuncttion, L
Disjunctive, L
Disk, L
Dislocate, LL
Dislocate, LL
Dismantle, F
Dismay, OE
Dismiss, L
Disobeisance, F
Disobeisant, F
Disobey, F
Disoppilate, L
Dispand, L
Disparate, L
Disparity, LL
Dispel, L
Dispensable, LL
Dispensation, F
Dispensator, L
Dispensatory, L
Dispense, F
Disperge, L
Disperse, L
Displacency, LL
Display, OE
Displicence, Displicency, L
Displode, L
Dispondee, L
Dispone, L
Dispose, F
Disposition, F
Dispositor, L
Dispraise, OE
Dispropriate, L
Dispunge, L
Disputable, L
Disputant, L
Disputation, OE
Disputative, L
Dispute, OE
Disquisition, L
Disrupt, L
Disruption, L
Dissect, L
Disseminate, L
Dissemination, L
Disseminator, L
Dissension, L
Dissent, L
Dissentaneous, L
Dissentient, L
Dissepiment, L
Dissert, L
Dissertate, L
Dissertation, L
Dissertator, L
Dissever, OE
Dissidence, L
Dissident, L
Dissilient, L
Dissimile, L
Dissimilitude, L
Dissimulate, L
Dissimulation, L
Dissimulator, L
Dissimule, F
Dissipable, L
Dissipate, L
Dissipation, L
Dissite, L
Dissociable, L
Dissociate, L
Dissociation, L
Dissoluble, L
Dissolute, L
Dissolution, OE
Dissolve, L
Dissolvent, L
Dissonance, L
Dissonant, L
Dissuade, L
Dissuasion, L
Dissyllable, F
Distaff, OE
Distain, OE
Distance, F
Distant, F
Distemperate, LL
Distend, L
Distent, L
Distention, L
Dister, L
Disterminate, L
Distermination, L
Distich, L
Distill, F
Distillation, F
Distillery, F
Distinct, L
Distinction, L
Distinguish, F
Distort, L
Distortion, L
Distract, L
Distraction, L
Distrain, OE
Distrait, F
Distraught, OE
Distress, OE
Distribute, L
Distribution, L
District, L
District, LL
Distriction, L
Distringas, L
Disturb, OE
Disturbation, L
Dit, AS
Ditation, L
Ditch, OE
Dithyramb, L
Dithyrambic, L
Dithyrambus, L
Dition, L
Ditrochee, L
Dittany, OE
Ditty, OE
Diuretic, L
Diurnal, L
Diuturnal, L
Diuturnity, L
Divagation, L
Divaricate, L
Divaricate, L
Dive, OE
Divel, L
Divellent, L
Divellicate, L
Diverb, L
Diverberate, L
Diverge, L
Divers, F
Diversiform, L
Diversify, F
Diversiloquent, L
Diversity, F
Diversivolent, L
Diversory, L
Divert, F
Diverticle, L
Diverticulum, L
Divertise, F
Divertissement, F
Dives, L
Divest, LL
Divide, L
Dividend, L
Dividuous, L
Divination, L
Divinator, L
Divine, L
Divine, L
Divinify, L
Divinity, F
Divisible, L
Division, F
Divisor, L
Divorce, F
Divulgate, L
Divulgation, L
Divulge, F
Dizziness, AS
Dizzy, OE
Djereed &or; Djerrid, F
Do, AS
Docent, L
Dochmius, L
Docibility, Docibleness, L
Docible, L
Docile, L
Docility, L
Dock, AS
Doctrinaire, F
Doctrinal, LL
Doctrine, F
Document, LL
Dodd, Dod, OE
Doe, AS
Dog, AS
Dogal, LL
Doggerel, OE
Dogma, L
Dogmatic, Dogmatical, L
Dogmatist, L
Dogmatize, L
Dolabra, L
Dolabriform, L
Dole, OE
Dole, L
Dole, AS
Dolent, L
Dolioform, L
Doliolum, L
Dolium, L
Dolor, OE
Doloriferous, L
Dolorific, Dolorifical, LL
Dolorous, L
Dolphin, F
Dolt, OE
Dolus, L
Domable, L
Domain, F
Domal, L
Dome, F
Domestic, L
Domesticate, LL
Domesticity, LL
Domicile, L
Domicillary, LL
Domiculture, L
Domify, L
Domina, L
Dominant, L
Dominate, L
Domination, F
Dominator, L
Domineer, F
Dominical, LL
Dominicide, L
Dominie, L
Dominion, LL
Domino, F
Dominus, L
Domitable, L
Donable, L
Donary, L
Donate, L
Donation, L
Donatist, LL
Donative, L
Donator, L
Donax, L
Doniferous, L
Donor, F
Doomsday, AS
Door, OE
Doric, L
Doris, L
Dormant, F
Dormitory, L
Dorsal, F
Dorsal, LL
Dorsum, L
Dortour, Dorture, F
Doryphoros, L
Dose, F
Dosser, LL
Dossil, OE
Dot, F
Dotal, L
Dotation, LL
Dote, OE
Douane, F
Douanier, F
Douar, F
Double, OE
Double, OE
Double-entendre, F
Doubloon, F
Doubt, OE
Doubt, OE
Douce, F
Doucepere, F
Doucet, Dowset, F
Douceur, F
Douche, F
Doucine, F
Dough, OE
Doughty, OE
Douse, AS
Dove, OE
Dow, F
Dower, F
Down, OE
Downward, Downwards, AS
Doxology, LL
Dozen, OE
Drab, AS
Drab, F
Drachma, L
Drachme, F
Draco, L
Dracontine, L
Dracunculus, L
Drag, OE
Drag\'82es, F
Dragon, F
Dragonnade, F
Dragoon, F
Drain, AS
Draine, F
Drake, AS
Drama, L
Dramatis person\'91, L
Drap d'\'82t\'82, F
Drape, F
Draper, F
Drapery, F
Drasty, AS
Draw, OE
Dray, AS
Dread, AS
Dreary, OE
Drecche, AS
Dredge, F
Dredge, OE
Dree, AS
Drench, AS
Drench, AS
Drench, AS
Dresser, F
Drink, AS
Drive, AS
Droit, F
Droll, F
Drollery, F
Drome, F
Dromedary, F
Drone, OE
Dronte, F
Drop, OE
Drop, OE
Dropmeal, Dropmele, AS
Dropsy, OE
Dross, AS
Drought, OE
Drove, AS
Drovy, AS
Drown, OE
Drowse, AS
Drudge, OE
Drug, F
Drugget, F
Druggist, F
Druid, L
Drunk, OE
Drunken, AS
Drupe, F
Dry, OE
Dry, AS
Dryad, L
Dryas, L
Dual, L
Duality, L
Dub, AS
Dubiety, L
Dubiosity, L
Dubious, L
Dubitable, L
Dubitancy, LL
Dubitate, L
Dubitation, L
Dubitative, L
Ducal, F
Ducat, F
Ducatoon, F
Duces tecum, L
Duchess, F
Duchesse d'Angoul\'88me, F
Duchy, F
Duck, OE
Duck, OE
Duct, L
Ductile, L
Duction, L
Ductor, L
Duelist, F
Duke, F
Dulcifluous, L
Dulcify, L
Dulciloquy, L
Dulcitude, L
Dulcorate, L
Dulcoration, LL
Dulia, LL
Dull, AS
Dumal, L
Dumb, AS
Dumose, Dumous, L
Dump, OE
Dun, AS
Dun, AS
Dung, AS
Dungeon, OE
Duodecennial, L
Duodecimal, L
Duodecimfid, L
Duodecimo, L
Duodecuple, L
Duodenary, L
Duoliteral, L
Dupe, F
Dupery, F
Dupion, F
Duple, L
Duplex, L
Duplex, L
Duplicate, L
Duplication, L
Duplicity, F
Durability, L
Durable, L
Dura mater, L
Duramen, L
Durant, F
Durante, L
Dure, L
Dure, F
Durene, L
Durity, L
Durometer, L
Durous, L
Dusk, OE
Dust, AS
Dusty, AS
Duumvir, L
Duumviral, L
Duumvirate, L
Dux, L
Dwale, OE
Dwarf, OE
Dwell, OE
Dyad, L
Dyas, L
Dye, OE
Dynast, L
Dysenteric, Dysenterical, L
Dysentery, L
Dyspepsia, Dyspepsy, L
Dyspn</a, L
Dysuria, Dysury, L
Each, OE
Eager, OE
Eagle, OE
Eagre, AS
Eame, AS
Ean, AS
Ear, AS
Ear, AS
Ear, OE
Earl, OE
Earldom, AS
Earlock, AS
Early, OE
Early, OE
Earn, AS
Earn, AS
Earnest, AS
Earth, AS
Earwig, AS
Ease, OE
Ease, OE
East, OE
Easter, AS
Eastern, AS
Eat, OE
Eath, AS
Eau de Cologne, F
Eau de vie, F
Eaves, OE
Ebb, AS
Ebb, AS
Ebony, F
Ebrauke, L
Ebriety, L
Ebrillade, F
Ebriosity, L
Ebrious, L
Ebullient, L
Ebullioscope, L
Ebullition, F
Eburnation, L
Eburnean, L
Eburnification, L
\'90cart\'82, F
Ecbasis, L
Ecce homo, L
Eccentric, F
Ecclesia, L
Ecclesiarch, LL
Ecclesiastes, L
Ecclesiastic, L
Ecclesiasticus, L
</chauguette, F
Echelon, F
Echidna, L
Echinate, Echinated, L
Echinus, L
Echo, L
</clair, F
Eclaircise, F
Eclaircissement, F
Eclat, F
Eclegm, F
Eclipse, F
Ecliptic, L
Eclogue, L
Economic; 277, Economical, F
Economy, F
</corch\'82, F
</cossaise, F
</coute, F
</crasement, F
</craseur, F
</cru, F
Ecstasy, F
Ectasis, L
Ecthlipsis, L
Ectypal, L
Ecumenic, Ecumenical, L
Ecurie, F
Edacious, L
Edacity, L
Edder, AS
Eddish, AS
Edentulous, L
Edge, OE
Edible, L
Edict, L
Edificant, L
Edification, L
Edifice, L
Edificial, L
Edify, F
Edile, L
Edit, F
Edition, L
\'90dition de luxe, F
Editor, L
Edituate, LL
Educate, L
Education, L
Educator, L
Educe, L
Educt, L
Eduction, L
Eductor, L
Edulcorate, L
Edulious, L
Eel, AS
Eelpout, AS
Effable, L
Efface, F
Effascinate, L
Effascination, L
Effect, L
Effection, L
Effective, L
Effective, F
Effector, L
Effeminate, L
Effemination, L
Efferent, L
Efferous, L
Effervesce, L
Effervescent, L
Effete, L
Efficacious, L
Efficacity, L
Efficacy, L
Efficience, Efficiency, L
Efficient, L
Effigiate, L
Effigies, L
Effigy, L
Efflagitate, L
Efflate, L
Effloresce, L
Efflorescence, F
Efflorescent, F
Effluent, L
Effluvium, L
Effodient, L
Effort, F
Effossion, L
Effray, F
Effrenation, L
Effrontery, F
Effrontit, F
Effulge, L
Effulgent, L
Effume, L
Effund, L
Effuse, L
Effusion, L
Eft, AS
Eft, AS
Eftsoon, Eftsoons, OE
Egal, F
Egality, OE
Egence, L
Egest, L
Egestion, L
Egg, OE
Egg, OE
Eglantine, F
Ego, L
Egoism, F
Egoist, F
Egotism, L
Egotist, L
Egregious, L
Egress, L
Egression, L
Egrimony, L
Egriot, F
Egritude, L
Egyptian, L
Eh, OE
Eight, AS
Eighteen, AS
Eightetethe, OE
Eighth, AS
Eighty, AS
Either, OE
Ejaculate, L
Eject, L
Ejection, L
Ejulation, L
Eke, AS
Eke, AS
Elaborate, L
Elaboration, L
</lan, F
Elance, F
Elapidation, L
Elapse, L
Elaqueate, L
Elate, L
Elaterium, L
Elation, L
Elbow, AS
Eld, AS
Eld, AS
Elder, AS
Elder, AS
Elder, OE
Eldest, AS
Eleatic, L
Elecampane, F
Elect, L
Electant, L
Election, F
Elector, L
Electre, Electer, L
Electric, Electrical, L
Electrine, L
Electro-, L
Electrum, L
Electuary, OE
Eleemosynary, LL
Elegance, Elegancy, L
Elegant, L
Elegiac, L
Elegit, L
Elegy, L
Element, F
Elementary, L
Elench, L
Elenchus, L
Elephansy, L
Elephant, OE
Elephantiasis, L
Elephantine, L
Eleusinian, L
Elevate, L
Elevate, L
Elevation, L
Elevator, L
\'90l\'8ave, F
Eleven, OE
Elf, AS
Elicit, L
Elide, L
Eligible, F
Elimate, L
Eliminate, L
Elinguate, L
Elinguation, L
Elinguid, L
Eliquation, L
Elison, L
Elisor, F
</lite, F
Elixate, L
Elixir, F
Ell, AS
Ellagic, F
Ellipsis, L
Elm, AS
Elocution, L
</loge, F
Elogist, F
Elogium, Elogy, L
Eloign, F
Eloignment, F
Elongate, LL
Elongate, LL
Elongation, LL
Elops, L
Eloquence, F
Eloquent, F
Else, OE
Elucidate, LL
Eluctate, L
Eluctation, L
Elucubrate, L
Elude, L
Elumbated, L
Elusion, LL
Elusory, LL
Elute, L
Elutriate, L
Elysian, L
Elysium, L
Emacerate, L
Emaciate, L
Emaciate, L
Emaculate, L
\'92mail ombrant, F
Emanant, L
Emanate, L
Emanation, L
Emancipate, L
Emancipate, L
Emancipation, L
Emancipator, L
Emarginate, L
Emasculate, L
Emasculator, L
Embale, F
Embalm, F
Embark, F
Embarrass, F
Embarrass, F
Embarrassment, F
Embassade, F
Embassador, F
Embellish, OE
Ember, OE
Ember, OE
Emblem, F
Embo\'8ctement, F
Embolism, L
Embolus, L
Embonpoint, F
Embouchure, F
Embrace, OE
Embrasure, F
Embroider, OE
Embroil, F
Embryo, F
Embushment, OE
Emend, L
Emendable, L
Emendation, L
Emendator, L
Emendatory, L
Emendicate, L
Emerald, OE
Emerge, L
Emergent, L
Emeritus, L
Emeritus, L
Emersed, L
Emery, F
Emetic, L
</meute, F
Emforth, AS
Emicant, L
Emication, L
Emiction, L
Emigrant, L
Emigrate, L
Emigration, L
</migr\'82, F
Eminence, L
Eminent, L
Emissary, L
Emission, L
Emissitious, L
Emit, L
Emittent, L
Emmet, OE
Emollescence, L
Emollient, L
Emolument, L
Emotion, L
Empasm, F
Empery, L
Emphasis, L
Emphyteusis, L
Emphyteutic, L
Emphyteuticary, L
Empire, F
Empiric, L
Emplastration, L
Emplecton, F
Employ, F
Employ\'82, F
Empoison, F
Empoisonment, F
Emporetic, Emporetical, L
Emporium, L
Empress, OE
Emption, L
Empty, AS
Empuse, LL
Empyreal, L
